# runtime=go1.17.13 darwin/arm64 mode=scan-start-caps n=5000 start_cap=1024
# scan-start-caps from=900 to=1400
oldcap,newcap,delta,bytes,monotonic_vs_prev
900,2048,1148,2048,-
901,2048,1147,2048,flat
902,2048,1146,2048,flat
903,2048,1145,2048,flat
904,2048,1144,2048,flat
905,2048,1143,2048,flat
906,2048,1142,2048,flat
907,2048,1141,2048,flat
908,2048,1140,2048,flat
909,2048,1139,2048,flat
910,2048,1138,2048,flat
911,2048,1137,2048,flat
912,2048,1136,2048,flat
913,2048,1135,2048,flat
914,2048,1134,2048,flat
915,2048,1133,2048,flat
916,2048,1132,2048,flat
917,2048,1131,2048,flat
918,2048,1130,2048,flat
919,2048,1129,2048,flat
920,2048,1128,2048,flat
921,2048,1127,2048,flat
922,2048,1126,2048,flat
923,2048,1125,2048,flat
924,2048,1124,2048,flat
925,2048,1123,2048,flat
926,2048,1122,2048,flat
927,2048,1121,2048,flat
928,2048,1120,2048,flat
929,2048,1119,2048,flat
930,2048,1118,2048,flat
931,2048,1117,2048,flat
932,2048,1116,2048,flat
933,2048,1115,2048,flat
934,2048,1114,2048,flat
935,2048,1113,2048,flat
936,2048,1112,2048,flat
937,2048,1111,2048,flat
938,2048,1110,2048,flat
939,2048,1109,2048,flat
940,2048,1108,2048,flat
941,2048,1107,2048,flat
942,2048,1106,2048,flat
943,2048,1105,2048,flat
944,2048,1104,2048,flat
945,2048,1103,2048,flat
946,2048,1102,2048,flat
947,2048,1101,2048,flat
948,2048,1100,2048,flat
949,2048,1099,2048,flat
950,2048,1098,2048,flat
951,2048,1097,2048,flat
952,2048,1096,2048,flat
953,2048,1095,2048,flat
954,2048,1094,2048,flat
955,2048,1093,2048,flat
956,2048,1092,2048,flat
957,2048,1091,2048,flat
958,2048,1090,2048,flat
959,2048,1089,2048,flat
960,2048,1088,2048,flat
961,2048,1087,2048,flat
962,2048,1086,2048,flat
963,2048,1085,2048,flat
964,2048,1084,2048,flat
965,2048,1083,2048,flat
966,2048,1082,2048,flat
967,2048,1081,2048,flat
968,2048,1080,2048,flat
969,2048,1079,2048,flat
970,2048,1078,2048,flat
971,2048,1077,2048,flat
972,2048,1076,2048,flat
973,2048,1075,2048,flat
974,2048,1074,2048,flat
975,2048,1073,2048,flat
976,2048,1072,2048,flat
977,2048,1071,2048,flat
978,2048,1070,2048,flat
979,2048,1069,2048,flat
980,2048,1068,2048,flat
981,2048,1067,2048,flat
982,2048,1066,2048,flat
983,2048,1065,2048,flat
984,2048,1064,2048,flat
985,2048,1063,2048,flat
986,2048,1062,2048,flat
987,2048,1061,2048,flat
988,2048,1060,2048,flat
989,2048,1059,2048,flat
990,2048,1058,2048,flat
991,2048,1057,2048,flat
992,2048,1056,2048,flat
993,2048,1055,2048,flat
994,2048,1054,2048,flat
995,2048,1053,2048,flat
996,2048,1052,2048,flat
997,2048,1051,2048,flat
998,2048,1050,2048,flat
999,2048,1049,2048,flat
1000,2048,1048,2048,flat
1001,2048,1047,2048,flat
1002,2048,1046,2048,flat
1003,2048,1045,2048,flat
1004,2048,1044,2048,flat
1005,2048,1043,2048,flat
1006,2048,1042,2048,flat
1007,2048,1041,2048,flat
1008,2048,1040,2048,flat
1009,2048,1039,2048,flat
1010,2048,1038,2048,flat
1011,2048,1037,2048,flat
1012,2048,1036,2048,flat
1013,2048,1035,2048,flat
1014,2048,1034,2048,flat
1015,2048,1033,2048,flat
1016,2048,1032,2048,flat
1017,2048,1031,2048,flat
1018,2048,1030,2048,flat
1019,2048,1029,2048,flat
1020,2048,1028,2048,flat
1021,2048,1027,2048,flat
1022,2048,1026,2048,flat
1023,2048,1025,2048,flat
1024,1280,256,1280,down
1025,1408,383,1408,up
1026,1408,382,1408,flat
1027,1408,381,1408,flat
1028,1408,380,1408,flat
1029,1408,379,1408,flat
1030,1408,378,1408,flat
1031,1408,377,1408,flat
1032,1408,376,1408,flat
1033,1408,375,1408,flat
1034,1408,374,1408,flat
1035,1408,373,1408,flat
1036,1408,372,1408,flat
1037,1408,371,1408,flat
1038,1408,370,1408,flat
1039,1408,369,1408,flat
1040,1408,368,1408,flat
1041,1408,367,1408,flat
1042,1408,366,1408,flat
1043,1408,365,1408,flat
